service_id,date,exception_type
Special#4,20200709,1
Special#4,20200713,1
Special#4,20200714,1
Special#4,20200715,1
Special#4,20200716,1
Special#4,20200720,1
Special#4,20200721,1
Special#4,20200722,1
Special#4,20200723,1
Special#5,20200203,1
Special#5,20200204,1
Special#5,20200205,1
Special#5,20200206,1
Special#5,20200210,1
Special#5,20200211,1
Special#5,20200212,1
Special#5,20200213,1
Special#5,20200217,1
Special#5,20200218,1
Special#5,20200219,1
Special#5,20200220,1
Special#5,20200302,1
Special#5,20200303,1
Special#5,20200304,1
Special#5,20200305,1
Special#5,20200309,1
Special#5,20200310,1
Special#5,20200311,1
Special#5,20200312,1
Special#5,20200316,1
Special#5,20200317,1
Special#5,20200318,1
Special#5,20200319,1
Special#5,20200323,1
Special#5,20200324,1
Special#5,20200325,1
Special#5,20200326,1
Special#5,20200330,1
Special#5,20200331,1
Special#5,20200401,1
Special#5,20200402,1
Special#5,20200420,1
Special#5,20200421,1
Special#5,20200422,1
Special#5,20200423,1
Special#5,20200427,1
Special#5,20200428,1
Special#5,20200429,1
Special#5,20200430,1
Special#5,20200504,1
Special#5,20200505,1
Special#5,20200506,1
Special#5,20200507,1
Special#5,20200511,1
Special#5,20200512,1
Special#5,20200513,1
Special#5,20200514,1
Special#5,20200518,1
Special#5,20200519,1
Special#5,20200520,1
Special#5,20200525,1
Special#5,20200526,1
Special#5,20200527,1
Special#5,20200528,1
Special#5,20200615,1
Special#5,20200616,1
Special#5,20200617,1
Special#5,20200618,1
Special#5,20200622,1
Special#5,20200623,1
Special#5,20200624,1
Special#5,20200625,1
Special#5,20200629,1
Special#5,20200630,1
Special#5,20200701,1
Special#5,20200702,1
Special#5,20200706,1
Special#5,20200707,1
Special#5,20200708,1
Special#5,20200709,1
Special#5,20200713,1
Special#5,20200714,1
Special#5,20200715,1
Special#5,20200716,1
Special#5,20200720,1
Special#5,20200721,1
Special#5,20200722,1
Special#5,20200723,1
Special#6,20200203,1
Special#6,20200204,1
Special#6,20200205,1
Special#6,20200210,1
Special#6,20200211,1
Special#6,20200212,1
Special#6,20200217,1
Special#6,20200218,1
Special#6,20200219,1
Special#6,20200302,1
Special#6,20200303,1
Special#6,20200304,1
Special#6,20200309,1
Special#6,20200310,1
Special#6,20200311,1
Special#6,20200316,1
Special#6,20200317,1
Special#6,20200318,1
Special#6,20200323,1
Special#6,20200324,1
Special#6,20200325,1
Special#6,20200330,1
Special#6,20200331,1
Special#6,20200401,1
Special#6,20200420,1
Special#6,20200421,1
Special#6,20200422,1
Special#6,20200427,1
Special#6,20200428,1
Special#6,20200429,1
Special#6,20200504,1
Special#6,20200505,1
Special#6,20200506,1
Special#6,20200511,1
Special#6,20200512,1
Special#6,20200513,1
Special#6,20200518,1
Special#6,20200519,1
Special#6,20200520,1
Special#6,20200525,1
Special#6,20200526,1
Special#6,20200527,1
Special#6,20200615,1
Special#6,20200616,1
Special#6,20200617,1
Special#6,20200622,1
Special#6,20200623,1
Special#6,20200624,1
Special#6,20200629,1
Special#6,20200630,1
Special#6,20200701,1
Special#6,20200706,1
Special#6,20200707,1
Special#6,20200708,1
Special#6,20200713,1
Special#6,20200714,1
Special#6,20200715,1
Special#6,20200720,1
Special#6,20200721,1
Special#6,20200722,1
Special#7,20200203,1
Special#7,20200204,1
Special#7,20200205,1
Special#7,20200206,1
Special#7,20200207,1
Special#7,20200210,1
Special#7,20200211,1
Special#7,20200212,1
Special#7,20200213,1
Special#7,20200214,1
Special#7,20200217,1
Special#7,20200218,1
Special#7,20200219,1
Special#7,20200220,1
Special#7,20200221,1
Special#7,20200302,1
Special#7,20200303,1
Special#7,20200304,1
Special#7,20200305,1
Special#7,20200306,1
Special#7,20200309,1
Special#7,20200310,1
Special#7,20200311,1
Special#7,20200312,1
Special#7,20200313,1
Special#7,20200316,1
Special#7,20200317,1
Special#7,20200318,1
Special#7,20200319,1
Special#7,20200320,1
Special#7,20200323,1
Special#7,20200324,1
Special#7,20200325,1
Special#7,20200326,1
Special#7,20200327,1
Special#7,20200330,1
Special#7,20200331,1
Special#7,20200401,1
Special#7,20200402,1
Special#7,20200403,1
Special#7,20200420,1
Special#7,20200421,1
Special#7,20200422,1
Special#7,20200423,1
Special#7,20200424,1
Special#7,20200427,1
Special#7,20200428,1
Special#7,20200429,1
Special#7,20200430,1
Special#7,20200504,1
Special#7,20200505,1
Special#7,20200506,1
Special#7,20200507,1
Special#7,20200508,1
Special#7,20200511,1
Special#7,20200512,1
Special#7,20200513,1
Special#7,20200514,1
Special#7,20200515,1
Special#7,20200518,1
Special#7,20200519,1
Special#7,20200520,1
Special#7,20200522,1
Special#7,20200525,1
Special#7,20200526,1
Special#7,20200527,1
Special#7,20200528,1
Special#7,20200529,1
Special#7,20200615,1
Special#7,20200616,1
Special#7,20200617,1
Special#7,20200618,1
Special#7,20200619,1
Special#7,20200622,1
Special#7,20200623,1
Special#7,20200624,1
Special#7,20200625,1
Special#7,20200626,1
Special#7,20200629,1
Special#7,20200630,1
Special#7,20200701,1
Special#7,20200702,1
Special#7,20200703,1
Special#7,20200706,1
Special#7,20200707,1
Special#7,20200708,1
Special#7,20200709,1
Special#7,20200710,1
Special#7,20200713,1
Special#7,20200714,1
Special#7,20200715,1
Special#7,20200716,1
Special#7,20200717,1
Special#7,20200720,1
Special#7,20200721,1
Special#7,20200722,1
Special#7,20200723,1
Special#7,20200724,1
Special#8,20200203,1
Special#8,20200204,1
Special#8,20200205,1
Special#8,20200206,1
Special#8,20200207,1
Special#8,20200210,1
Special#8,20200211,1
Special#8,20200212,1
Special#8,20200213,1
Special#8,20200214,1
Special#8,20200217,1
Special#8,20200218,1
Special#8,20200219,1
Special#8,20200220,1
Special#8,20200221,1
Special#8,20200224,1
Special#8,20200225,1
Special#8,20200226,1
Special#8,20200227,1
Special#8,20200228,1
Special#8,20200302,1
Special#8,20200303,1
Special#8,20200304,1
Special#8,20200305,1
Special#8,20200306,1
Special#8,20200309,1
Special#8,20200310,1
Special#8,20200311,1
Special#8,20200312,1
Special#8,20200313,1
Special#8,20200316,1
Special#8,20200317,1
Special#8,20200318,1
Special#8,20200319,1
Special#8,20200320,1
Special#8,20200323,1
Special#8,20200324,1
Special#8,20200325,1
Special#8,20200326,1
Special#8,20200327,1
Special#8,20200330,1
Special#8,20200331,1
Special#8,20200401,1
Special#8,20200402,1
Special#8,20200403,1
Special#8,20200406,1
Special#8,20200407,1
Special#8,20200408,1
Special#8,20200409,1
Special#8,20200414,1
Special#8,20200415,1
Special#8,20200416,1
Special#8,20200417,1
Special#8,20200420,1
Special#8,20200421,1
Special#8,20200422,1
Special#8,20200423,1
Special#8,20200424,1
Special#8,20200427,1
Special#8,20200428,1
Special#8,20200429,1
Special#8,20200430,1
Special#8,20200504,1
Special#8,20200505,1
Special#8,20200506,1
Special#8,20200507,1
Special#8,20200508,1
Special#8,20200511,1
Special#8,20200512,1
Special#8,20200513,1
Special#8,20200514,1
Special#8,20200515,1
Special#8,20200518,1
Special#8,20200519,1
Special#8,20200520,1
Special#8,20200522,1
Special#8,20200525,1
Special#8,20200526,1
Special#8,20200527,1
Special#8,20200528,1
Special#8,20200529,1
Special#8,20200602,1
Special#8,20200603,1
