stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
de:09375:1089:0:1,,Edlhausen Lohbergstraße,49.0612286,11.9178051,,
de:09375:109:0:1,,Diesenbach Siedlung,49.1276984,12.1189648,,
de:09375:109:0:2,,Diesenbach Siedlung,49.1278807,12.1188211,,
de:09375:1090:0:1,,Wöhrhof,49.1370442,12.1359699,,
de:09375:1090:0:2,,Wöhrhof,49.1371499,12.1366437,,
de:09375:1091:0:1,,Neueglofsheim Kreuzung Bstg 1,48.8984262,12.1787208,,
de:09375:1092:0:1,,Neutraubling Am Weiheracker,48.9828623,12.2065146,,
de:09375:1092:0:2,,Neutraubling Am Weiheracker,48.9829331,12.2064607,,
de:09375:1094:0:1,,Wenzenbach Gemeindezentrum/FFW,49.0756477,12.1949893,,
de:09375:1095:0:1,,Fußenberg Sandhofstraße,49.07889,12.1728099,,
de:09375:1095:0:2,,Fußenberg Sandhofstraße,49.0788547,12.1728278,,
de:09375:1097:0:1,,Kareth In der Pfeifing,49.0445501,12.0794749,,
de:09375:1097:0:2,,Kareth In der Pfeifing,49.0454156,12.0785676,,
de:09375:1098:0:1,,Lappersdorf Gymnasium,49.0458984,12.0825471,,
de:09375:1099:0:1,,Lappersdorf Mittelschule,49.0485715,12.0885748,,
de:09375:110:0:1,,Dinau,49.1629208,11.8929757,,
de:09375:110:0:2,,Dinau,49.1631029,11.8926523,,
de:09375:1100:0:1,,Eichhof,49.076701,12.2865995,,
de:09375:1100:0:2,,Eichhof,49.076654,12.2867881,,
de:09375:1101:0:1,,Neutraubling Feuerwehr,48.9875667,12.1948006,,
de:09375:1101:0:2,,Neutraubling Feuerwehr,48.9875903,12.1946209,,
de:09375:1103:0:1,,Altenthann Schule,49.0930864,12.3055359,,
de:09375:111:0:1,,Donaustauf Schule,49.0340032,12.2083652,,
de:09375:111:0:2,,Donaustauf Schule,49.0344508,12.2085808,,
de:09375:1111:0:1,,Schwaighausen Wendeplatz,49.095504,12.0334901,,
de:09375:1112:0:1,,Buchhausen Kirche,48.8146458,12.1725493,,
de:09375:1113:0:1,,Ehringer Au,48.9029969,12.3306528,,
de:09375:1114:0:1,,Viergstetten,48.9971156,11.8957425,,
de:09375:1115:0:1,,Barbing Friesheimer Str.,49.0033509,12.2031729,,
de:09375:1115:0:2,,Barbing Friesheimer Str.,49.0032861,12.203146,,
de:09375:1116:0:1,,Unterlichtenwald Nord,49.051845,12.2606651,,
de:09375:1130:0:2,,Neutraubling Guggenberger See,48.9858984,12.215363,,
de:09375:1131:0:1,,Oberheising Industriegebiet West,48.9894354,12.2208787,,
de:09375:1131:0:2,,Oberheising Industriegebiet West,48.9893529,12.2208787,,
de:09375:1132:0:1,,Oberheising Industriegebiet Ost,48.9888577,12.2251188,,
de:09375:1132:0:2,,Oberheising Industriegebiet Ost,48.9888047,12.2251277,,
de:09375:1133:0:1,,Rosenhof Gewerbegebiet West,48.9876434,12.238306,,
de:09375:1133:0:2,,Rosenhof Gewerbegebiet West,48.9875844,12.2382252,,
de:09375:1134:0:1,,Rosenhof Gewerbegebiet Ost,48.9889756,12.2431749,,
de:09375:1134:0:2,,Rosenhof Gewerbegebiet Ost,48.988787,12.2430581,,
de:09375:1135:0:1,,Barbing Am Sarchinger Feld Mitte,49.0019189,12.2179412,,
de:09375:1135:0:2,,Barbing Am Sarchinger Feld Mitte,49.0019307,12.2180131,,
de:09375:114:0:1,,Eberhof,49.129844,12.2375245,,
de:09375:114:0:2,,Eberhof,49.1297441,12.2375245,,
de:09375:115:0:1,,Edlhausen Gde. Regenstauf,49.1100603,12.1107812,,
de:09375:115:0:2,,Edlhausen Gde. Regenstauf,49.1108365,12.1115358,,
de:09375:116:0:1,,Egglfing,48.9447569,12.1709773,,
de:09375:116:0:2,,Egglfing,48.945341,12.1708156,,
de:09375:117:1:1,,Eggmühl Bahnhof,48.8367586,12.1821793,,
de:09375:118:0:1,,Eggmühl Seniorenheim,48.8434868,12.1815505,,
de:09375:119:0:25,,Eggmühl Zaitzkofener Str.,48.8392359,12.1854042,,
de:09375:119:0:N,,Eggmühl Zaitzkofener Str.,48.8395375,12.1847844,,
de:09375:119:0:S,,Eggmühl Zaitzkofener Str.,48.8395611,12.1846407,,
de:09375:12:0:1,,Abzw. Giffa,48.9943455,12.3654087,,
de:09375:12:0:2,,Abzw. Giffa,48.9941922,12.3654805,,
de:09375:120:0:1,,Eglsee,49.0772895,11.9099179,,
de:09375:120:0:2,,Eglsee,49.0770423,11.9099987,,
de:09375:121:0:1,,Ehring Kirche,48.8995483,12.3297635,,
de:09375:121:0:2,,Ehring Kirche,48.8996841,12.3293682,,
de:09375:122:0:1,,Reiterberg,49.1176219,12.0400299,,
de:09375:122:0:2,,Reiterberg,49.1176748,12.0400389,,
de:09375:123:0:1,,Eilsbrunn Brücke,49.0012411,11.9666645,,
de:09375:123:0:2,,Eilsbrunn Brücke,49.0016478,11.966907,,
de:09375:124:0:1,,Eilsbrunn Kirche,49.0045354,11.9752074,,
de:09375:124:0:2,,Eilsbrunn Kirche,49.0046768,11.9750637,,
de:09375:125:0:1,,Eilsbrunn Marksteinstraße,49.0042054,11.9832833,,
de:09375:125:0:2,,Eilsbrunn Marksteinstraße,49.0043586,11.9833641,,
de:09375:1253:0:1,,Pettendorf Grundschule,49.05659,12.0007465,,
de:09375:1253:0:2,,Pettendorf Grundschule,49.05659,12.0007915,,
de:09375:126:0:1,,Einhausen,49.063012,12.0601611,,
de:09375:126:0:2,,Einhausen,49.0630062,12.0603857,,
de:09375:127:0:1,,Oppersdorf Am Kirchengraben,49.0606576,12.0611313,,
de:09375:128:0:1,,Eisenhammer Pumpstation,49.0629767,11.8990393,,
de:09375:129:0:1,,Eitlbrunn Kirche,49.1172398,12.0645988,0,de:09375:129_Parent
de:09375:129:0:2,,Eitlbrunn Kirche,49.1172868,12.0648054,0,de:09375:129_Parent
de:09375:129:0:3,,Eitlbrunn Kirche,49.1145409,12.0662786,0,de:09375:129_Parent
de:09375:129:0:4,,Eitlbrunn Kirche,49.1145997,12.0661259,0,de:09375:129_Parent
de:09375:129_Parent,,Eitlbrunn Kirche,49.1172515,12.0647066,1,
de:09375:130:0:1,,Eitlbrunn Leber,49.1119537,12.0668176,,
de:09375:130:0:2,,Eitlbrunn Leber,49.112036,12.0672398,,
de:09375:13017:0:0,,Neutraubling Friedhofweg,48.9881503,12.2046731,,
de:09375:13018:0:1,,Neutraubling Gymnasium,48.9856744,12.2052211,0,de:09375:13018_Parent
de:09375:13018:0:11,,Neutraubling Gymnasium,48.985869,12.208446,0,de:09375:13018_Parent
de:09375:13018:0:12,,Neutraubling Gymnasium,48.9860104,12.208446,0,de:09375:13018_Parent
de:09375:13018:0:13,,Neutraubling Gymnasium,48.9861224,12.2085538,0,de:09375:13018_Parent
de:09375:13018:0:14,,Neutraubling Gymnasium,48.9862403,12.2085898,0,de:09375:13018_Parent
de:09375:13018:0:2,,Neutraubling Gymnasium,48.9856331,12.2055804,0,de:09375:13018_Parent
de:09375:13018:0:3,,Neutraubling Gymnasium,48.9855683,12.2058409,0,de:09375:13018_Parent
de:09375:13018:0:4,,Neutraubling Gymnasium,48.9855388,12.2061823,0,de:09375:13018_Parent
de:09375:13018:0:5,,Neutraubling Gymnasium,48.9854858,12.2064787,0,de:09375:13018_Parent
de:09375:13018:0:6,,Neutraubling Gymnasium,48.9854327,12.2068291,0,de:09375:13018_Parent
de:09375:13018:0:7,,Neutraubling Gymnasium,48.9853856,12.2071435,0,de:09375:13018_Parent
de:09375:13018:0:8,,Neutraubling Gymnasium,48.9853207,12.2074758,0,de:09375:13018_Parent
de:09375:13018:0:9,,Neutraubling Gymnasium,48.9852853,12.2077723,0,de:09375:13018_Parent
de:09375:13018_Parent,,Neutraubling Gymnasium,48.9854504,12.2064338,1,
de:09375:13041:0:1,,Neutraubling Rathaus,48.9940213,12.195654,,
de:09375:13041:0:2,,Neutraubling Rathaus,48.9936382,12.1966422,,
de:09375:13042:0:1,,Neutraubling Neudeker Straße,48.9895533,12.200442,,
de:09375:13042:0:2,,Neutraubling Neudeker Straße,48.9891819,12.2002354,,
de:09375:13043:0:2,,Neutraubling Haidauer Straße,48.9855506,12.2083831,,
de:09375:13043:0:3,,Neutraubling Haidauer Straße,48.9851674,12.2083472,,
de:09375:13044:0:1,,Neutraubling Pommernstr.,48.9807694,12.1931836,,
de:09375:13044:0:2,,Neutraubling Pommernstr.,48.9807576,12.1933813,,
de:09375:13045:0:1,,Obertr. Abzw. Niedertr.,48.9639755,12.1686866,,
